2023-03-29 01:06:35,750 : [WARNING]  ####################################### New Training Session #######################################
2023-03-29 01:06:35,751 : [INFO]  Server started , graph ID 1, number of clients 1, number of rounds 3, number of timestamps 90
2023-03-29 01:06:43,826 : [INFO]  Distributed training for streaming graphs started!
2023-03-29 01:06:45,935 : [INFO]  Accepted new connection at 127.0.0.1:38366
2023-03-29 01:06:45,936 : [INFO]  Randomly initialized global model sent to client-new at 127.0.0.1:38366
2023-03-29 01:06:48,472 : [INFO]  Accepted new connection at 127.0.0.1:38380
2023-03-29 01:06:48,472 : [INFO]  Randomly initialized global model sent to client-new at 127.0.0.1:38380
2023-03-29 01:07:21,769 : [INFO]  Initial training: recieved model from client-0 at 127.0.0.1:38366
2023-03-29 01:07:21,770 : [INFO]  Initial training round 1: aggregated global model sent to client-0 at 127.0.0.1:38366
2023-03-29 01:07:21,770 : [INFO]  Initial training round 1: aggregated global model sent to client-new at 127.0.0.1:38380
2023-03-29 01:07:21,770 : [INFO]  ____________________________________ Initial training: round 1 finished ____________________________________
2023-03-29 01:07:22,974 : [INFO]  Initial training: recieved model from client-1 at 127.0.0.1:38380
2023-03-29 01:07:22,974 : [INFO]  Initial training round 2: aggregated global model sent to client-0 at 127.0.0.1:38366
2023-03-29 01:07:22,975 : [INFO]  Initial training round 2: aggregated global model sent to client-1 at 127.0.0.1:38380
2023-03-29 01:07:22,975 : [INFO]  ____________________________________ Initial training: round 2 finished ____________________________________
2023-03-29 01:07:50,343 : [INFO]  Initial training: recieved model from client-1 at 127.0.0.1:38380
2023-03-29 01:07:50,343 : [INFO]  Initial training round 3: aggregated global model sent to client-0 at 127.0.0.1:38366
2023-03-29 01:07:50,344 : [INFO]  Initial training round 3: aggregated global model sent to client-1 at 127.0.0.1:38380
2023-03-29 01:07:50,344 : [INFO]  ____________________________________ Initial training: round 3 finished ____________________________________
2023-03-29 01:07:50,344 : [INFO]  #################################### Initial Trained final model sent to clients ####################################
2023-03-29 01:07:50,409 : [INFO]  Batch 1: recieved model from client-0 at 127.0.0.1:38366
2023-03-29 01:07:50,410 : [INFO]  Batch 1, round 1: aggregated global model sent to client-0 at 127.0.0.1:38366
2023-03-29 01:07:50,410 : [INFO]  Batch 1, round 1: aggregated global model sent to client-1 at 127.0.0.1:38380
2023-03-29 01:07:50,410 : [INFO]  ____________________________________ Batch 1: round 1 finished ____________________________________
2023-03-29 01:08:17,665 : [INFO]  Batch 1: recieved model from client-1 at 127.0.0.1:38380
2023-03-29 01:08:17,666 : [INFO]  Batch 1, round 2: aggregated global model sent to client-0 at 127.0.0.1:38366
2023-03-29 01:08:17,666 : [INFO]  Batch 1, round 2: aggregated global model sent to client-1 at 127.0.0.1:38380
2023-03-29 01:08:17,666 : [INFO]  ____________________________________ Batch 1: round 2 finished ____________________________________
2023-03-29 01:08:18,923 : [INFO]  Batch 1: recieved model from client-0 at 127.0.0.1:38366
2023-03-29 01:08:18,923 : [INFO]  Batch 1, round 3: aggregated global model sent to client-0 at 127.0.0.1:38366
