source,target,weight
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
21,20,1.0
22,21,1.0
17,22,1.0
25,25,1.0
30,30,1.0
16,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
16,22,1.0
16,22,1.0
16,22,1.0
1,1,1.0
1,1,1.0
16,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
1,1,1.0
16,22,1.0
16,22,1.0
45,22,1.0
16,22,1.0
16,22,1.0
16,22,1.0
16,22,1.0
16,22,1.0
16,22,1.0
1,1,1.0
1,1,1.0
1,1,1.0
16,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
1,1,1.0
52,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
16,22,1.0
56,52,1.0
16,22,1.0
16,22,1.0
16,22,1.0
1,1,1.0
16,22,1.0
1,1,1.0
1,1,1.0
1,1,1.0
61,56,1.0
1,1,1.0
61,56,1.0
61,56,1.0
1,1,1.0
22,58,1.0
1,1,1.0
1,1,1.0
63,13,1.0
1,1,1.0
1,1,1.0
68,22,1.0
69,63,1.0
56,52,1.0
1,1,1.0
71,54,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
75,69,1.0
75,69,1.0
75,69,1.0
1,1,1.0
76,62,1.0
1,1,1.0
75,69,1.0
1,1,1.0
80,71,1.0
1,1,1.0
75,69,1.0
1,1,1.0
1,1,1.0
56,52,1.0
75,69,1.0
75,69,1.0
75,69,1.0
75,69,1.0
1,1,1.0
75,69,1.0
75,69,1.0
87,75,1.0
75,69,1.0
88,76,1.0
88,76,1.0
75,69,1.0
75,69,1.0
89,77,1.0
90,78,1.0
88,76,1.0
75,69,1.0
76,62,1.0
75,69,1.0
75,69,1.0
88,76,1.0
75,69,1.0
90,78,1.0
75,69,1.0
88,76,1.0
90,78,1.0
75,69,1.0
88,76,1.0
90,78,1.0
90,78,1.0
75,69,1.0
22,82,1.0
76,62,1.0
90,78,1.0
75,69,1.0
90,78,1.0
75,69,1.0
88,76,1.0
88,76,1.0
88,76,1.0
75,69,1.0
90,78,1.0
75,69,1.0
88,76,1.0
75,69,1.0
75,69,1.0
88,76,1.0
75,69,1.0
75,69,1.0
101,88,1.0
88,76,1.0
101,88,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
103,89,1.0
104,90,1.0
104,90,1.0
88,76,1.0
88,76,1.0
75,69,1.0
88,76,1.0
106,75,1.0
75,69,1.0
88,76,1.0
88,76,1.0
75,69,1.0
75,69,1.0
88,76,1.0
109,25,1.0
75,69,1.0
75,69,1.0
106,75,1.0
88,76,1.0
110,75,1.0
104,90,1.0
88,76,1.0
75,69,1.0
106,75,1.0
76,62,1.0
76,62,1.0
75,69,1.0
75,69,1.0
106,75,1.0
75,69,1.0
88,76,1.0
75,69,1.0
106,75,1.0
75,69,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
116,56,1.0
88,76,1.0
76,62,1.0
117,99,1.0
76,62,1.0
117,99,1.0
88,76,1.0
106,75,1.0
88,76,1.0
78,101,1.0
78,101,1.0
106,75,1.0
88,76,1.0
78,101,1.0
116,56,1.0
88,76,1.0
117,99,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
88,76,1.0
123,104,1.0
88,76,1.0
123,104,1.0
88,76,1.0
127,107,1.0
128,75,1.0
116,56,1.0
76,62,1.0
130,75,1.0
76,62,1.0
132,112,1.0
22,114,1.0
138,56,1.0
127,107,1.0
140,114,1.0
141,116,1.0
76,62,1.0
76,62,1.0
144,117,1.0
145,56,1.0
145,56,1.0
127,107,1.0
146,51,1.0
146,51,1.0
149,56,1.0
149,56,1.0
145,56,1.0
145,56,1.0
149,56,1.0
140,114,1.0
140,114,1.0
140,114,1.0
78,101,1.0
145,56,1.0
158,121,1.0
106,75,1.0
159,123,1.0
159,123,1.0
76,62,1.0
106,75,1.0
160,89,1.0
63,124,1.0
163,56,1.0
166,127,1.0
106,75,1.0
