source,target,timestamp,weight
7,0,15.0,1.0
8,7,17.0,1.0
11,10,31.0,1.0
12,11,34.0,1.0
14,13,38.0,1.0
12,11,39.0,1.0
14,13,41.0,1.0
14,13,42.0,1.0
15,14,43.0,1.0
12,11,44.0,1.0
11,10,51.0,1.0
11,10,58.0,1.0
23,23,60.0,1.0
12,11,63.0,1.0
11,10,72.0,1.0
12,11,73.0,1.0
11,10,77.0,1.0
8,7,79.0,1.0
32,32,87.0,1.0
8,7,91.0,1.0
12,11,110.0,1.0
14,13,116.0,1.0
14,13,125.0,1.0
37,37,126.0,1.0
14,13,128.0,1.0
37,37,130.0,1.0
37,37,132.0,1.0
14,13,137.0,1.0
14,13,141.0,1.0
8,7,142.0,1.0
12,11,143.0,1.0
14,13,147.0,1.0
14,13,148.0,1.0
41,39,156.0,1.0
43,41,158.0,1.0
12,11,163.0,1.0
45,22,168.0,1.0
12,11,188.0,1.0
48,45,193.0,1.0
48,45,195.0,1.0
12,11,208.0,1.0
48,45,209.0,1.0
48,45,217.0,1.0
48,45,223.0,1.0
48,45,229.0,1.0
8,7,230.0,1.0
48,45,237.0,1.0
48,45,243.0,1.0
48,45,244.0,1.0
48,45,246.0,1.0
48,45,259.0,1.0
48,45,264.0,1.0
69,63,278.0,1.0
74,68,303.0,1.0
75,69,306.0,1.0
73,7,308.0,1.0
75,69,309.0,1.0
75,69,313.0,1.0
74,68,317.0,1.0
75,69,323.0,1.0
79,41,324.0,1.0
74,68,325.0,1.0
74,68,327.0,1.0
80,71,330.0,1.0
75,69,334.0,1.0
75,69,348.0,1.0
75,69,353.0,1.0
75,69,359.0,1.0
75,69,361.0,1.0
85,74,363.0,1.0
75,69,365.0,1.0
75,69,368.0,1.0
75,69,371.0,1.0
75,69,375.0,1.0
75,69,378.0,1.0
75,69,386.0,1.0
93,80,389.0,1.0
75,69,392.0,1.0
75,69,393.0,1.0
75,69,397.0,1.0
75,69,399.0,1.0
75,69,403.0,1.0
75,69,409.0,1.0
75,69,415.0,1.0
75,69,420.0,1.0
75,69,432.0,1.0
93,80,437.0,1.0
75,69,438.0,1.0
75,69,443.0,1.0
75,69,451.0,1.0
75,69,455.0,1.0
75,69,456.0,1.0
102,79,475.0,1.0
102,79,483.0,1.0
105,91,488.0,1.0
75,69,489.0,1.0
75,69,493.0,1.0
80,93,498.0,1.0
75,69,500.0,1.0
75,69,501.0,1.0
102,79,506.0,1.0
75,69,510.0,1.0
75,69,511.0,1.0
111,95,520.0,1.0
102,79,521.0,1.0
111,95,524.0,1.0
75,69,529.0,1.0
75,69,535.0,1.0
75,69,536.0,1.0
75,69,540.0,1.0
75,69,542.0,1.0
114,97,545.0,1.0
75,69,546.0,1.0
14,13,550.0,1.0
14,13,556.0,1.0
85,74,574.0,1.0
119,102,578.0,1.0
102,79,579.0,1.0
102,79,583.0,1.0
102,79,590.0,1.0
102,79,592.0,1.0
102,79,593.0,1.0
102,79,594.0,1.0
102,79,596.0,1.0
120,34,600.0,1.0
12,11,607.0,1.0
124,105,611.0,1.0
124,105,613.0,1.0
12,11,625.0,1.0
124,105,631.0,1.0
129,109,632.0,1.0
124,105,634.0,1.0
124,105,635.0,1.0
124,105,642.0,1.0
39,111,643.0,1.0
124,105,647.0,1.0
102,79,648.0,1.0
124,105,652.0,1.0
17,114,654.0,1.0
124,105,655.0,1.0
22,114,656.0,1.0
124,105,657.0,1.0
124,105,663.0,1.0
124,105,668.0,1.0
102,79,669.0,1.0
137,114,672.0,1.0
140,114,679.0,1.0
124,105,681.0,1.0
102,79,696.0,1.0
137,114,697.0,1.0
102,79,698.0,1.0
137,114,701.0,1.0
143,114,702.0,1.0
12,11,703.0,1.0
102,79,705.0,1.0
12,11,716.0,1.0
148,114,720.0,1.0
120,34,727.0,1.0
140,114,728.0,1.0
140,114,730.0,1.0
140,114,733.0,1.0
12,11,737.0,1.0
151,69,739.0,1.0
102,79,745.0,1.0
102,79,746.0,1.0
12,11,747.0,1.0
153,119,748.0,1.0
102,79,749.0,1.0
155,120,751.0,1.0
156,119,754.0,1.0
102,79,755.0,1.0
151,69,756.0,1.0
102,79,758.0,1.0
12,11,759.0,1.0
151,69,760.0,1.0
151,69,763.0,1.0
151,69,765.0,1.0
102,79,774.0,1.0
151,69,776.0,1.0
102,79,778.0,1.0
102,79,785.0,1.0
12,11,787.0,1.0
63,124,790.0,1.0
102,79,795.0,1.0
12,11,797.0,1.0
102,79,804.0,1.0
102,79,806.0,1.0
168,129,813.0,1.0
12,11,817.0,1.0
102,79,827.0,1.0
102,79,831.0,1.0
102,79,836.0,1.0
102,79,840.0,1.0
151,69,841.0,1.0
175,133,843.0,1.0
12,11,844.0,1.0
12,11,858.0,1.0
151,69,860.0,1.0
179,136,866.0,1.0
124,137,869.0,1.0
12,11,870.0,1.0
180,138,872.0,1.0
